Full Journal Title	Journal Impact Factor
ZAMM-Zeitschrift fur Angewandte Mathematik und Mechanik	1.332
Brazilian Oral Research	1.331
CELL AND TISSUE BANKING	1.331
COMPUTATIONAL BIOLOGY AND CHEMISTRY	1.331
JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE	1.331
IETE TECHNICAL REVIEW	1.330
JOURNAL OF CAREER ASSESSMENT	1.330
JOURNAL OF DIFFERENTIAL GEOMETRY	1.330
REVISTA IBEROAMERICANA DE MICOLOGIA	1.330
BIOMETRICS	1.329
CLINICAL OBSTETRICS AND GYNECOLOGY	1.329
INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS	1.329
JOURNAL OF CANCER EDUCATION	1.329
NONLINEAR PROCESSES IN GEOPHYSICS	1.329
Natural Hazards Review	1.329
Natural Hazards Review	1.329
RESEARCH IN SCIENCE EDUCATION	1.329
AUSTRALIAN JOURNAL OF CHEMISTRY	1.328
JOURNAL OF MODERN OPTICS	1.328
LASER PHYSICS	1.328
AMERICAN JOURNAL OF COMPARATIVE LAW	1.327
FISHERIES MANAGEMENT AND ECOLOGY	1.327
JOURNAL OF MOTOR BEHAVIOR	1.327
JOURNAL OF MOTOR BEHAVIOR	1.327
Journal of Herbal Medicine	1.327
SOCIAL SCIENCE RESEARCH	1.327
Intensive and Critical Care Nursing	1.326
Intensive and Critical Care Nursing	1.326
JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS	1.326
JOURNAL OF PARASITOLOGY	1.326
JOURNAL OF SUPERCOMPUTING	1.326
ANIMAL SCIENCE JOURNAL	1.325
Advances in Applied Ceramics	1.325
BRQ-Business Research Quarterly	1.325
Female Pelvic Medicine and Reconstructive Surgery	1.325
Journal of Nanophotonics	1.325
NEUROIMAGING CLINICS OF NORTH AMERICA	1.325
TUEXENIA	1.325
ACTA MECHANICA SINICA	1.324
ADDICTION RESEARCH & THEORY	1.324
BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION	1.324
Vocations and Learning	1.324
JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION	1.323
JOURNAL OF INTERNATIONAL MEDICAL RESEARCH	1.323
Journal of Soil Science and Plant Nutrition	1.323
LAW PROBABILITY & RISK	1.323
LAW PROBABILITY & RISK	1.323
Petroleum Science	1.323
CURRENT MICROBIOLOGY	1.322
JCR-JOURNAL OF CLINICAL RHEUMATOLOGY	1.322
AMERICAN JOURNAL OF MANAGED CARE	1.321
AMERICAN JOURNAL OF MANAGED CARE	1.321
BioResources	1.321
Current Sports Medicine Reports	1.321
AESTHETIC PLASTIC SURGERY	1.320
CELL BIOCHEMISTRY AND BIOPHYSICS	1.320
Demographic Research	1.320
Electronic Commerce Research	1.320
PACKAGING TECHNOLOGY AND SCIENCE	1.320
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART J-JOURNAL OF ENGINEERING TRIBOLOGY	1.320
FUSION ENGINEERING AND DESIGN	1.319
PRISON JOURNAL	1.319
JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE	1.318
JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE	1.318
JOURNAL OF CUTANEOUS PATHOLOGY	1.317
SEMINARS IN CUTANEOUS MEDICINE AND SURGERY	1.317
ADVANCES IN COMPUTATIONAL MATHEMATICS	1.316
ARTIFICIAL LIFE	1.316
Education Finance and Policy	1.316
JOURNAL OF CONTEMPORARY ETHNOGRAPHY	1.316
SCIENTIFIC AMERICAN	1.316
JOURNAL OF ELECTROSTATICS	1.315
JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER	1.315
RADIATION PHYSICS AND CHEMISTRY	1.315
ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES	1.314
Journal of Geographical Systems	1.314
Journal of Immigrant and Minority Health	1.314
MATHEMATISCHE ANNALEN	1.314
Nurse Education in Practice	1.314
Nurse Education in Practice	1.314
Twin Research and Human Genetics	1.314
EUROPEAN JOURNAL OF PEDIATRIC SURGERY	1.313
PROGRESS IN NUCLEAR ENERGY	1.313
WESTERN JOURNAL OF NURSING RESEARCH	1.313
WESTERN JOURNAL OF NURSING RESEARCH	1.313
ANNALS OF NUCLEAR ENERGY	1.312
COMPOSITIO MATHEMATICA	1.312
Cognitive and Behavioral Neurology	1.312
International Entrepreneurship and Management Journal	1.312
JOURNAL OF PSYCHOSOCIAL ONCOLOGY	1.312
Journal of Business-to-Business Marketing	1.312
AMERICAN BEHAVIORAL SCIENTIST	1.311
BEHAVIOURAL NEUROLOGY	1.311
Canadian Journal of Emergency Medicine	1.311
Clinical Nursing Research	1.311
Clinical Nursing Research	1.311
ENGLISH FOR SPECIFIC PURPOSES	1.311
GIORNALE ITALIANO DI DERMATOLOGIA E VENEREOLOGIA	1.311
JOURNAL OF BROADCASTING & ELECTRONIC MEDIA	1.311
PUBLIC RELATIONS REVIEW	1.311
Educational Psychology	1.310
JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS	1.310
Journal of Research on Educational Effectiveness	1.310
Optimization Letters	1.310
Proceedings of the Institution of Mechanical Engineers Part M-Journal of Engineering for the Maritime Environment	1.310
AUSTRALIAN JOURNAL OF PSYCHOLOGY	1.309
JOURNAL OF HEALTH POLITICS POLICY AND LAW	1.309
JOURNAL OF HEALTH POLITICS POLICY AND LAW	1.309
INTERNATIONAL FORESTRY REVIEW	1.308
JOURNAL OF MATHEMATICAL CHEMISTRY	1.308
Mass Communication and Society	1.308
Men and Masculinities	1.308
URBAN AFFAIRS REVIEW	1.308
Chinese Journal of Aeronautics	1.307
Social Movement Studies	1.307
ARCHIVES OF ANIMAL NUTRITION	1.306
Current Analytical Chemistry	1.306
EVALUATION & THE HEALTH PROFESSIONS	1.306
EVALUATION & THE HEALTH PROFESSIONS	1.306
JOURNAL OF COMPLEXITY	1.306
Methods in Cell Biology	1.306
AMERICAN ANTIQUITY	1.305
AUSTRALASIAN JOURNAL OF DERMATOLOGY	1.304
HUMAN ORGANIZATION	1.304
JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR	1.304
Journal of Economics	1.304
COASTAL MANAGEMENT	1.303
COASTAL MANAGEMENT	1.303
Language Acquisition	1.303
NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS	1.303
European Journal of Developmental Psychology	1.302
GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY	1.302
HUMAN PERFORMANCE	1.302
JOURNAL OF CAVE AND KARST STUDIES	1.302
Journal of International Relations and Development	1.302
PSYCHIATRISCHE PRAXIS	1.302
CIN-COMPUTERS INFORMATICS NURSING	1.301
CIN-COMPUTERS INFORMATICS NURSING	1.301
JOURNALISM & MASS COMMUNICATION QUARTERLY	1.301
American Journal of Health Economics	1.300
BioChip Journal	1.300
INSECT SYSTEMATICS & EVOLUTION	1.300
JOURNAL OF LOW TEMPERATURE PHYSICS	1.300
Journal of Chemistry	1.300
NEW GENETICS AND SOCIETY	1.300
NEW GENETICS AND SOCIETY	1.300
SYMBIOSIS	1.300
TRANSFUSION AND APHERESIS SCIENCE	1.300
Advances in Materials Science and Engineering	1.299
CHEMOECOLOGY	1.298
IET Signal Processing	1.298
INFORMATION SYSTEMS MANAGEMENT	1.298
International Emergency Nursing	1.298
International Emergency Nursing	1.298
JOURNAL OF RISK AND UNCERTAINTY	1.298
RESEARCH IN VETERINARY SCIENCE	1.298
X-RAY SPECTROMETRY	1.298
BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING	1.297
CHEMICAL ENGINEERING COMMUNICATIONS	1.297
Economics of Energy & Environmental Policy	1.297
Science Technology and Society	1.297
Applied Ontology	1.296
Nordic Journal of Music Therapy	1.296
BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY	1.295
Journal of Eye Movement Research	1.295
Quality Engineering	1.295
Selecta Mathematica-New Series	1.295
CRITICAL SOCIAL POLICY	1.294
EDUCATIONAL ADMINISTRATION QUARTERLY	1.294
GENETIC RESOURCES AND CROP EVOLUTION	1.294
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS	1.294
Journal of Studies in International Education	1.294
PEDIATRIC TRANSPLANTATION	1.294
EVALUATION REVIEW	1.293
INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH	1.293
Near Surface Geophysics	1.293
Acta Metallurgica Sinica-English Letters	1.292
European Political Science	1.292
INTERVIROLOGY	1.292
Journal for Healthcare Quality	1.292
Journal for Healthcare Quality	1.292
PHYSICIAN AND SPORTSMEDICINE	1.292
TURKISH JOURNAL OF CHEMISTRY	1.292
ADVANCES IN POLYMER TECHNOLOGY	1.291
JOURNAL OF AGRICULTURAL SCIENCE	1.291
JOURNAL OF FUTURES MARKETS	1.291
INDIAN JOURNAL OF MICROBIOLOGY	1.290
JOURNAL OF TEXTURE STUDIES	1.290
PORTAL-LIBRARIES AND THE ACADEMY	1.290
Traffic Injury Prevention	1.290
Traffic Injury Prevention	1.290
WILDLIFE RESEARCH	1.290
ATOMIZATION AND SPRAYS	1.289
JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS	1.289
Nonlinear Dynamics Psychology and Life Sciences	1.289
ACTA PHARMACEUTICA	1.288
ENVIRONMENTAL ARCHAEOLOGY	1.288
EUROPEAN PHYSICAL JOURNAL D	1.288
ISIS	1.288
ISIS	1.288
Turkish Journal of Agriculture and Forestry	1.288
AMPHIBIA-REPTILIA	1.287
JOURNAL OF ACADEMIC LIBRARIANSHIP	1.287
Pediatrics and Neonatology	1.287
Applied Research in Quality of Life	1.286
Geotechnique Letters	1.286
Journal of Socio-Economics	1.286
Language Policy	1.286
INTERNATIONAL JOURNAL OF PRIMATOLOGY	1.285
MINERALOGICAL MAGAZINE	1.285
Pain Management Nursing	1.285
Pain Management Nursing	1.285
SCANDINAVIAN JOURNAL OF PSYCHOLOGY	1.284
American Journal of Hospice & Palliative Medicine	1.283
ECOLOGICAL RESEARCH	1.283
JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY	1.282
Journal of Minimal Access Surgery	1.282
MONATSHEFTE FUR CHEMIE	1.282
JOURNAL OF SCHEDULING	1.281
SHOCK AND VIBRATION	1.281
Journal of Child Health Care	1.280
Journal of Child Health Care	1.280
Journal of Experimental Zoology Part A-Ecological Genetics and Physiology	1.280
PHYSICA SCRIPTA	1.280
RADIOCARBON	1.280
WILDLIFE BIOLOGY	1.280
DM DISEASE-A-MONTH	1.279
ENVIRONMENTAL VALUES	1.279
Early Education and Development	1.279
JOURNAL OF SPECIAL EDUCATION	1.279
Journal of Biological Dynamics	1.279
Congenital Heart Disease	1.278
European Journal of Social Theory	1.278
HOUSING POLICY DEBATE	1.278
Mine Water and the Environment	1.278
Palaeobiodiversity and Palaeoenvironments	1.278
SECURITY STUDIES	1.278
TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE	1.278
Advances in Meteorology	1.277
Advances in Neonatal Care	1.277
Advances in Neonatal Care	1.277
Clinical Simulation in Nursing	1.277
Clinical Simulation in Nursing	1.277
INTERNATIONAL JOURNAL OF PHOTOENERGY	1.277
JOURNAL OF REHABILITATION RESEARCH AND DEVELOPMENT	1.277
JOURNAL OF REHABILITATION RESEARCH AND DEVELOPMENT	1.277
MEDICINAL CHEMISTRY RESEARCH	1.277
OPHTHALMIC GENETICS	1.277
SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY	1.277
Sensor Review	1.277
CIRUGIA ESPANOLA	1.276
CLINICAL AUTONOMIC RESEARCH	1.276
HEALTH PHYSICS	1.276
Journal of Business Finance & Accounting	1.276
Journal of Global Antimicrobial Resistance	1.276
Legal Medicine	1.276
PHARMACEUTICAL STATISTICS	1.276
POLISH JOURNAL OF FOOD AND NUTRITION SCIENCES	1.276
PROFESSIONAL GEOGRAPHER	1.276
JOURNAL OF ECONOMIC PSYCHOLOGY	1.275
SOCIAL SERVICE REVIEW	1.275
European Journal of General Practice	1.274
JOURNAL OF SYMBOLIC COMPUTATION	1.274
IMA JOURNAL OF MATHEMATICAL CONTROL AND INFORMATION	1.273
Indian Journal of Traditional Knowledge	1.273
JAPANESE JOURNAL OF INFECTIOUS DISEASES	1.273
Journal of Esthetic and Restorative Dentistry	1.273
TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT	1.273
ELECTROMAGNETIC BIOLOGY AND MEDICINE	1.272
INTERNATIONAL JOURNAL OF MEDICINAL MUSHROOMS	1.272
JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY	1.272
PAPERS IN REGIONAL SCIENCE	1.272
PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY	1.272
Journal of Sulfur Chemistry	1.271
Mind Brain and Education	1.271
RADIOCHIMICA ACTA	1.271
BRYOLOGIST	1.270
LAKE AND RESERVOIR MANAGEMENT	1.270
AMERICAN JOURNAL OF CLINICAL HYPNOSIS	1.269
JOURNAL DE MYCOLOGIE MEDICALE	1.269
NOTRE DAME LAW REVIEW	1.269
TEST	1.269
JOURNAL OF HYDRAULIC RESEARCH	1.268
JOURNAL OF PLANT PATHOLOGY	1.267
LATERALITY	1.267
CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL-JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES	1.266
LABORATORY MEDICINE	1.265
NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH	1.265
CANADIAN ENTOMOLOGIST	1.264
EUROPEAN JOURNAL OF WILDLIFE RESEARCH	1.264
OTOLARYNGOLOGIC CLINICS OF NORTH AMERICA	1.264
REVIEW OF INTERNATIONAL STUDIES	1.264
Reaction Kinetics Mechanisms and Catalysis	1.264
SUPRAMOLECULAR CHEMISTRY	1.264
BULLETIN OF MATHEMATICAL BIOLOGY	1.263
Genetic Testing and Molecular Biomarkers	1.263
IET Science Measurement & Technology	1.263
Journal of Tissue Viability	1.263
Journal of Tissue Viability	1.263
Politics	1.263
ENTOMOLOGICAL SCIENCE	1.262
JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE	1.262
Journal of Transcultural Nursing	1.262
Journal of Transcultural Nursing	1.262
Peer-to-Peer Networking and Applications	1.262
Population Health Management	1.262
TEACHERS COLLEGE RECORD	1.262
Experimental and Therapeutic Medicine	1.261
International Review of Economics & Finance	1.261
JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING	1.261
JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING	1.261
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS	1.261
Kinetic and Related Models	1.261
CELLULAR & MOLECULAR BIOLOGY LETTERS	1.260
JOURNAL OF CONSUMER AFFAIRS	1.260
MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION	1.260
EUROPEAN ECONOMIC REVIEW	1.259
INTERNATIONAL JOURNAL OF REHABILITATION RESEARCH	1.259
INTERNATIONAL JOURNAL OF REHABILITATION RESEARCH	1.259
International Studies Review	1.259
Molecular Therapy-Oncolytics	1.259
Public Health Ethics	1.259
Public Health Ethics	1.259
Active Learning in Higher Education	1.258
CHEMICAL PAPERS	1.258
ICHTHYOLOGICAL RESEARCH	1.258
International Journal of Spray and Combustion Dynamics	1.258
JOURNAL OF CAREER DEVELOPMENT	1.258
JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE	1.258
Race Ethnicity and Education	1.257
Cardiology Journal	1.256
Clinical and Experimental Optometry	1.256
GeoArabia	1.256
JSLS-Journal of the Society of Laparoendoscopic Surgeons	1.256
Journal of Aging & Social Policy	1.256
Canadian Journal of Occupational Therapy-Revue Canadienne d Ergotherapie	1.255
Canadian Journal of Occupational Therapy-Revue Canadienne d Ergotherapie	1.255
Cellular Reprogramming	1.255
DISASTERS	1.255
ENVIRONMENTAL BIOLOGY OF FISHES	1.255
JOURNAL OF CANADIAN PETROLEUM TECHNOLOGY	1.255
Journal of Laparoendoscopic & Advanced Surgical Techniques	1.255
PHYTOPATHOLOGIA MEDITERRANEA	1.255
Plant Pathology Journal	1.255
Urban Policy and Research	1.255
INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH	1.254
JOURNAL OF FUNCTIONAL ANALYSIS	1.254
Language and Education	1.254
MOLECULAR SIMULATION	1.254
JOURNAL OF COMPUTER ASSISTED LEARNING	1.253
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART D-JOURNAL OF AUTOMOBILE ENGINEERING	1.253
SALUD PUBLICA DE MEXICO	1.253
Annals of Transplantation	1.252
Journal of the Chinese Medical Association	1.252
Korean Circulation Journal	1.252
SOIL SCIENCE AND PLANT NUTRITION	1.251
ACM Transactions on Applied Perception	1.250
Fossil Record	1.250
JOURNAL OF EVALUATION IN CLINICAL PRACTICE	1.250
JOURNAL OF MOLECULAR MICROBIOLOGY AND BIOTECHNOLOGY	1.250
JOURNAL OF MOLLUSCAN STUDIES	1.250
JOURNAL OF PLASTIC FILM & SHEETING	1.250
JOURNAL OF STRATEGIC STUDIES	1.250
Journal of Physiological Anthropology	1.250
Journal of the Institute of Mathematics of Jussieu	1.250
Learning Disabilities Research & Practice	1.250
Molecular & Cellular Toxicology	1.250
Nursing Philosophy	1.250
Nursing Philosophy	1.250
PLANT SPECIES BIOLOGY	1.250
SALAMANDRA	1.250
Seminars in Vascular Surgery	1.250
TSINGHUA SCIENCE AND TECHNOLOGY	1.250
BLOOD PRESSURE MONITORING	1.248
JOURNAL OF AGING STUDIES	1.248
ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE	1.247
JOURNAL OF SPORT MANAGEMENT	1.247
JOURNAL OF SPORT MANAGEMENT	1.247
ACADEMIC PSYCHIATRY	1.246
Australian Journal of Primary Health	1.246
Australian Journal of Primary Health	1.246
International Feminist Journal of Politics	1.246
MATHEMATICAL BIOSCIENCES	1.246
European Journal of Cultural Studies	1.244
Hematology	1.244
JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION	1.244
NETHERLANDS JOURNAL OF MEDICINE	1.244
Evolutionary Psychology	1.243
IEEE TRANSACTIONS ON MAGNETICS	1.243
RANDOM STRUCTURES & ALGORITHMS	1.243
Decision Analysis	1.242
JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS	1.242
Journal of Leadership & Organizational Studies	1.242
OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY	1.242
Oxford Journal of Legal Studies	1.242
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART K-JOURNAL OF MULTI-BODY DYNAMICS	1.242
Vasa-European Journal of Vascular Medicine	1.242
COMBUSTION SCIENCE AND TECHNOLOGY	1.241
INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT	1.241
JOURNAL OF BIOLOGICAL PHYSICS	1.241
JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION	1.241
Language Variation and Change	1.241
NUMERICAL ALGORITHMS	1.241
ANNALS OF HUMAN BIOLOGY	1.240
ANNALS OF HUMAN BIOLOGY	1.240
INTERNATIONAL JOURNAL OF SCIENCE EDUCATION	1.240
Phytotaxa	1.240
SYSTEMATIC BOTANY	1.240
BOTANICA MARINA	1.239
Big Data	1.239
International Journal of Distributed Sensor Networks	1.239
PLANT SYSTEMATICS AND EVOLUTION	1.239
Russian Geology and Geophysics	1.239
SOCIAL POLICY & ADMINISTRATION	1.239
JOURNAL OF ELECTROCERAMICS	1.238
ORNIS FENNICA	1.238
Sexual Health	1.238
Sexual Health	1.238
Tropical Conservation Science	1.238
Journal of Research in Medical Sciences	1.237
MODERN LAW REVIEW	1.237
Orthopaedic Surgery	1.237
SOCIOLOGICAL QUARTERLY	1.237
APPLIED MATHEMATICS AND OPTIMIZATION	1.236
Advances in Differential Equations	1.236
European Financial Management	1.236
MINERALOGY AND PETROLOGY	1.236
Nonprofit Management & Leadership	1.236
ARCHAEOLOGY IN OCEANIA	1.235
HEAT TRANSFER ENGINEERING	1.235
JETP LETTERS	1.235
JOURNAL OF CHEMICAL SCIENCES	1.235
JOURNAL OF COMBINATORIAL OPTIMIZATION	1.235
JOURNAL OF CRYPTOLOGY	1.235
Journal of the Brazilian Society of Mechanical Sciences and Engineering	1.235
STEEL RESEARCH INTERNATIONAL	1.235
Functional Materials Letters	1.234
SUBSTANCE USE & MISUSE	1.234
SUBSTANCE USE & MISUSE	1.234
ECONOMIC HISTORY REVIEW	1.233
HEAT AND MASS TRANSFER	1.233
JOURNAL OF PEDIATRIC ENDOCRINOLOGY & METABOLISM	1.233
TUMORI	1.233
ACTA ODONTOLOGICA SCANDINAVICA	1.232
Jove-Journal of Visualized Experiments	1.232
PARLIAMENTARY AFFAIRS	1.232
POLYMER-PLASTICS TECHNOLOGY AND ENGINEERING	1.232
Psychiatria Danubina	1.232
Psychiatria Danubina	1.232
REVISTA DE CHIMIE	1.232
TISSUE & CELL	1.232
COMPARATIVE EDUCATION REVIEW	1.231
JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1.231
Medicina Intensiva	1.231
Journal of Periodontal and Implant Science	1.230
AFRICAN JOURNAL OF MARINE SCIENCE	1.229
ANALYTICAL SCIENCES	1.228
Du Bois Review-Social Science Research on Race	1.227
ECOLOGICAL PSYCHOLOGY	1.227
GEOSCIENCE CANADA	1.227
Qualitative Sociology	1.227
Brazilian Journal of Physical Therapy	1.226
CHILDREN AND YOUTH SERVICES REVIEW	1.226
Review of Managerial Science	1.226
ACTA SOCIOLOGICA	1.225
CURRENT PROBLEMS IN CANCER	1.225
JOURNAL OF GENERAL PLANT PATHOLOGY	1.225
PLANT SOIL AND ENVIRONMENT	1.225
Botany	1.224
IRISH JOURNAL OF MEDICAL SCIENCE	1.224
JOURNAL OF CLINICAL NEUROPHYSIOLOGY	1.224
JOURNAL OF INTERNATIONAL ECONOMIC LAW	1.224
JOURNAL OF NURSING CARE QUALITY	1.224
JOURNAL OF NURSING CARE QUALITY	1.224
LICHENOLOGIST	1.224
Chinese Physics B	1.223
JOURNAL OF LAW MEDICINE & ETHICS	1.223
JOURNAL OF LAW MEDICINE & ETHICS	1.223
ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA	1.222
APPLIED RHEOLOGY	1.222
International Journal of Disaster Risk Science	1.222
JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN	1.222
SPORT PSYCHOLOGIST	1.222
SPORT PSYCHOLOGIST	1.222
HETEROATOM CHEMISTRY	1.221
Theoretical Ecology	1.221
ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY	1.220
ELECTRIC POWER COMPONENTS AND SYSTEMS	1.220
Journal of Ceramic Science and Technology	1.220
Journal of Instrumentation	1.220
Families Systems & Health	1.219
Families Systems & Health	1.219
Mineral Processing and Extractive Metallurgy Review	1.219
Universal Access in the Information Society	1.219
Universal Access in the Information Society	1.219
Wulfenia	1.219
Accounting Horizons	1.218
BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY	1.218
Journal of Arthropod-Borne Diseases	1.218
MATHEMATICS AND COMPUTERS IN SIMULATION	1.218
APPLIED COMPOSITE MATERIALS	1.217
COGNITION AND INSTRUCTION	1.217
JOURNAL OF ETHNOBIOLOGY	1.217
JOURNAL OF ETHNOBIOLOGY	1.217
Knowledge and Management of Aquatic Ecosystems	1.217
ALCHERINGA	1.216
CREATIVITY RESEARCH JOURNAL	1.216
HUMAN HEREDITY	1.216
JOURNAL OF COUNSELING AND DEVELOPMENT	1.216
Journal of Human Rights	1.216
Topics in Stroke Rehabilitation	1.216
Archives of Disease in Childhood-Education and Practice Edition	1.215
Computational Intelligence and Neuroscience	1.215
JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS	1.215
VETERINARY SURGERY	1.215
BRITISH EDUCATIONAL RESEARCH JOURNAL	1.214
INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS	1.214
JOURNAL OF CLINICAL NURSING	1.214
JOURNAL OF CLINICAL NURSING	1.214
JOURNAL OF COMPARATIVE PATHOLOGY	1.214
Journal of Zhejiang University-SCIENCE A	1.214
LINGUISTICS AND PHILOSOPHY	1.214
RESEARCH ON AGING	1.214
Cutaneous and Ocular Toxicology	1.213
NETWORKS	1.213
QUARTERLY JOURNAL OF MECHANICS AND APPLIED MATHEMATICS	1.213
Asia Pacific Viewpoint	1.212
JOURNAL OF LAW ECONOMICS & ORGANIZATION	1.212
JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW	1.212
ACTA ZOOLOGICA	1.211
Mechanical Sciences	1.211
POPULATION RESEARCH AND POLICY REVIEW	1.211
RANGELAND JOURNAL	1.211
SOCIAL WORK RESEARCH	1.211
JOURNAL OF EMERGENCY MEDICINE	1.210
Medical Molecular Morphology	1.210
PHOTONIC NETWORK COMMUNICATIONS	1.210
Advances in Anatomy Embryology and Cell Biology	1.209
BIOLOGY & PHILOSOPHY	1.209
BIOLOGY & PHILOSOPHY	1.209
Journal of Vascular Access	1.209
PROFESSIONAL PSYCHOLOGY-RESEARCH AND PRACTICE	1.209
INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY	1.208
Journal of the American Academy of Audiology	1.208
Sexual & Reproductive Healthcare	1.208
ACTA NEUROBIOLOGIAE EXPERIMENTALIS	1.207
GENETICA	1.207
Journal of Modern Power Systems and Clean Energy	1.207
SOIL & SEDIMENT CONTAMINATION	1.207
British Food Journal	1.206
Higher Education Research & Development	1.206
JOURNAL OF EARLY INTERVENTION	1.206
TIME & SOCIETY	1.206
ACTA HAEMATOLOGICA	1.205
APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION	1.205
INTERNATIONAL JOURNAL OF TOXICOLOGY	1.205
Journal of Lower Genital Tract Disease	1.205
Journal of Building Physics	1.204
Journal of Comparative Effectiveness Research	1.204
Asian Journal of Surgery	1.203
FAMILY MEDICINE	1.203
FLOW MEASUREMENT AND INSTRUMENTATION	1.203
INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY	1.203
Neotropical Ichthyology	1.203
JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS	1.202
ARCHIVES OF PSYCHIATRIC NURSING	1.201
ARCHIVES OF PSYCHIATRIC NURSING	1.201
NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT	1.201
Archives of Iranian Medicine	1.200
Diving and Hyperbaric Medicine	1.200
Health Care for Women International	1.200
JOURNAL OF MANAGEMENT INQUIRY	1.200
JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE	1.200
JOURNAL OF SOCIOLINGUISTICS	1.200
Journal of Biological Research-Thessaloniki	1.200
Natureza & Conservacao	1.200
Networks and Heterogeneous Media	1.200
POLITICAL STUDIES	1.200
REVIEWS IN INORGANIC CHEMISTRY	1.200
WRITTEN COMMUNICATION	1.200
ZOOLOGISCHER ANZEIGER	1.200
Palliative & Supportive Care	1.199
AUSTRALIAN JOURNAL OF EARTH SCIENCES	1.198
INTERNATIONAL JOURNAL OF MODERN PHYSICS E-NUCLEAR PHYSICS	1.198
JOURNAL OF TERRAMECHANICS	1.198
JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY	1.198
Journal of Advanced Ceramics	1.198
Economic Systems	1.197
JOURNAL OF EDUCATIONAL RESEARCH	1.197
WATER SCIENCE AND TECHNOLOGY	1.197
Advances in Quantum Chemistry	1.196
First Language	1.196
JOURNAL OF EXPERIMENTAL AND THEORETICAL PHYSICS	1.196
MECHANICS OF ADVANCED MATERIALS AND STRUCTURES	1.196
OXIDATION OF METALS	1.196
PRIMATES	1.196
Journal of Managerial Psychology	1.195
